epoch	loss	acc	val_loss	val_acc
0	25.53961435629397	0.7289540816326531	22.882348500765286	0.8978365384615384
1	20.792440667444346	0.9011479591836735	18.786825583531307	0.90625
2	17.083421094076975	0.9272959183673469	15.398436289567213	0.9615384615384616
3	14.057891660807083	0.935905612244898	12.729476323494545	0.9459134615384616
4	12.512643629190872	0.9528061224489796	12.356773981681236	0.9699519230769231
5	12.228941761717504	0.9642857142857143	12.209267231134268	0.9495192307692307
6	11.978575604302543	0.9719387755102041	11.894430453960712	0.9735576923076923
7	11.736339758853523	0.9795918367346939	11.625850108953623	0.9807692307692307
8	11.589080304515605	0.9795918367346939	11.646582841873169	0.9723557692307693
9	11.567134769595398	0.9830994897959183	11.589747630632841	0.9771634615384616
10	11.550171594230497	0.9799107142857143	11.578042305432833	0.9771634615384616
11	11.52318365233285	0.9815051020408163	11.537788757911095	0.9819711538461539
12	11.503916755014536	0.985969387755102	11.566342023702768	0.96875
13	11.501308504416018	0.984375	11.53712742145245	0.9855769230769231
14	11.506132831378858	0.9802295918367347	11.557400776789738	0.9759615384615384
15	11.502430555771808	0.9834183673469388	11.532774209976196	0.9807692307692307
